index,Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Score,Sets_Played,Tie_Breaks
59060,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Moutet C.,Wu Y.,Moutet C.,62,114,6-4 5-7 6-2 4-6 7-5 ,5,0
59061,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Rinderknech A.,Watanuki Y.,Watanuki Y.,59,138,3-6 3-6 2-6   ,3,0
59062,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Van De Zandschulp B.,Ivashka I.,Van De Zandschulp B.,34,73,6-3 3-6 7-5 6-3  ,4,0
59063,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Barrere G.,Etcheverry T.,Etcheverry T.,83,79,6-3 3-6 4-6 4-6  ,4,0
59064,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Sinner J.,Edmund K.,Sinner J.,16,581,6-4 6-0 6-2   ,3,0
59065,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Pella G.,Cerundolo F.,Cerundolo F.,181,29,4-6 4-6 3-6   ,3,0
59066,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Shang J.,Otte O.,Shang J.,194,74,6-2 6-4 6-7 7-5  ,4,1
59067,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Martinez P.,Hurkacz H.,Hurkacz H.,60,11,6-7 2-6 2-6   ,3,1
59068,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Korda S.,Garin C.,Korda S.,31,87,6-4 1-6 6-3 6-2  ,4,0
59069,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Ymer M.,Nishioka Y.,Nishioka Y.,69,33,4-6 2-6 5-7   ,3,0
59070,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Shapovalov D.,Lajovic D.,Shapovalov D.,22,86,6-4 4-6 6-4 6-1  ,4,0
59071,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Kotov P.,Griekspoor T.,Griekspoor T.,117,63,3-6 6-7 3-6   ,3,1
59072,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Mcdonald M.,Nakashima B.,Mcdonald M.,65,49,7-6 7-6 1-6 6-7 6-4 ,5,3
59073,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Zapata Miralles B.,Khachanov K.,Khachanov K.,72,20,6-7 2-6 0-6   ,3,1
59074,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Tiafoe F.,Altmaier D.,Tiafoe F.,17,92,6-3 6-3 6-7 7-6  ,4,2
59075,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Draper J.,Nadal R.,Nadal R.,38,2,5-7 6-2 4-6 1-6  ,4,0
59076,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Daniel T.,Escobedo E.,Daniel T.,94,313,7-5 6-2 3-6 6-3  ,4,0
59077,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Borges N.,Sonego L.,Sonego L.,111,47,6-7 3-6 7-6 1-6  ,4,2
59078,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Lehecka J.,Coric B.,Lehecka J.,71,23,6-3 6-3 6-3   ,3,0
59079,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Baez S.,Kubler J.,Kubler J.,44,84,4-6 4-6 4-6   ,3,0
59080,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Svrcina D.,Munar J.,Svrcina D.,216,64,6-3 6-2 6-2   ,3,0
59081,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Huesler M.A.,Millman J.,Millman J.,51,140,7-6 5-7 7-6 2-6 3-6 ,5,2
59082,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Eubanks C.,Kwon S.W.,Eubanks C.,116,52,6-3 6-7 6-3 4-6 6-4 ,5,1
59083,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Coria F.,Fucsovics M.,Fucsovics M.,76,78,6-4 5-7 6-2 6-7 2-6 ,5,1
59084,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Molcan A.,Wawrinka S.,Molcan A.,53,139,6-7 6-3 1-6 7-6 6-4 ,5,2
59085,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Hanfmann Y.,Hijikata R.,Hijikata R.,128,169,6-4 6-4 3-6 6-7 3-6 ,5,1
59086,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Norrie C.,Van Assche L.,Norrie C.,12,143,7-6 6-0 6-3   ,3,1
59087,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Pospisil V.,Auger-Aliassime F.,Auger-Aliassime F.,99,7,6-1 6-7 6-7 3-6  ,4,2
59088,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Tsitsipas S.,Halys Q.,Tsitsipas S.,4,61,6-3 6-4 7-6   ,3,1
59089,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Monteiro T.,Lestienne C.,Lestienne C.,77,55,3-6 6-7 3-6   ,3,1
59090,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Harris L.,Musetti L.,Harris L.,186,19,6-4 6-1 6-7 2-6 7-6 ,5,2
59091,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Giron M.,Medvedev D.,Medvedev D.,56,8,0-6 1-6 2-6   ,3,0
59092,Australian Open,2023-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Rublev A.,Thiem D.,Rublev A.,6,98,6-3 6-4 6-2   ,3,0
59093,Australian Open,2023-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Bagnis F.,Evans D.,Evans D.,91,30,4-6 6-4 4-6 4-6  ,4,0
59094,Australian Open,2023-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Bonzi B.,Bellucci M.,Bonzi B.,48,152,4-6 6-3 7-6 6-4  ,4,1
59095,Australian Open,2023-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Karatsev A.,Dimitrov G.,Dimitrov G.,82,28,6-7 5-7 2-6   ,3,1
59096,Australian Open,2023-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Djere L.,Bergs Z.,Djere L.,68,130,6-4 1-6 6-4 6-1  ,4,0
59097,Australian Open,2023-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Krutykh O.,Schwartzman D.,Schwartzman D.,188,26,4-6 7-6 3-6 6-7  ,4,2
