,Player Name,First serve,First Serve Points Won,1st Serve Return Points Won,2nd Serve Points Won,2nd Serve Return Points Won,Aces,Break Points Converted,Break Points Faced,Break Points Opportunities,Break Points Saved,Double Faults,Return Games Played,Return Games Won %,Return Points Won,Service Games Played,Service Games Won %,Total Points Won,Total Service Points Won,BreakPoints Won,BreakPoints Saved,Return Games Won,Service Games Won
0,Novak Djokovic,0.64,0.76,33%,0.58,54%,383,0.42,261,491,0.67,157,721,0.29,0.41,741,0.88,0.55,0.7,110.0,329.0,209.0,652.0
1,Carlos Alcaraz,0.66,0.72,35%,0.56,54%,302,0.4,369,691,0.65,161,874,0.32,0.42,881,0.85,0.54,0.67,148.0,449.0,280.0,749.0
2,Daniil Medvedev,0.64,0.75,34%,0.5,54%,547,0.46,419,622,0.67,314,922,0.31,0.41,923,0.85,0.54,0.66,193.0,417.0,286.0,785.0
3,Jannik Sinner,0.6,0.76,33%,0.57,54%,436,0.42,368,615,0.69,129,892,0.29,0.41,901,0.87,0.54,0.68,155.0,424.0,259.0,784.0
4,Andrey Rublev,0.61,0.75,30%,0.51,52%,616,0.39,439,639,0.63,156,1029,0.24,0.38,1038,0.84,0.52,0.66,171.0,403.0,247.0,872.0
5,Stefanos Tsitsipas,0.64,0.78,27%,0.55,49%,547,0.39,312,469,0.66,153,926,0.2,0.35,942,0.89,0.52,0.7,122.0,310.0,185.0,838.0
6,Alexander Zverev,0.71,0.74,29%,0.5,52%,613,0.37,406,618,0.64,222,970,0.23,0.38,964,0.85,0.52,0.67,150.0,396.0,223.0,819.0
7,Holger Rune,0.62,0.72,29%,0.53,49%,359,0.39,395,453,0.64,259,830,0.21,0.37,833,0.83,0.51,0.65,154.0,290.0,174.0,691.0
8,Hubert Hurkacz,0.64,0.8,27%,0.51,46%,1031,0.35,334,460,0.64,133,985,0.16,0.34,999,0.88,0.51,0.69,117.0,294.0,158.0,879.0
9,Taylor Fritz,0.59,0.79,28%,0.55,53%,692,0.42,352,490,0.66,165,909,0.23,0.38,935,0.87,0.53,0.69,148.0,323.0,209.0,813.0
10,Casper Ruud,0.63,0.71,30%,0.54,51%,320,0.39,396,466,0.67,167,772,0.23,0.38,783,0.83,0.51,0.65,154.0,312.0,178.0,650.0
11,Alex de Minaur,0.56,0.72,34%,0.54,52%,229,0.43,374,518,0.59,177,773,0.29,0.41,764,0.8,0.52,0.64,161.0,306.0,224.0,611.0
12,Tommy Paul,0.62,0.72,30%,0.53,51%,411,0.37,395,527,0.62,143,812,0.24,0.38,816,0.81,0.51,0.65,146.0,327.0,195.0,661.0
13,Grigor Dimitrov,0.61,0.77,30%,0.51,51%,461,0.41,337,451,0.63,212,758,0.24,0.38,774,0.84,0.52,0.67,138.0,284.0,182.0,650.0
14,Karen Khachanov,0.64,0.74,30%,0.53,51%,362,0.41,275,367,0.63,99,639,0.23,0.38,643,0.84,0.52,0.66,113.0,231.0,147.0,540.0
15,Frances Tiafoe,0.6,0.77,27%,0.53,51%,459,0.38,275,399,0.66,125,699,0.22,0.37,688,0.86,0.52,0.67,104.0,263.0,154.0,592.0
16,Ben Shelton,0.64,0.76,26%,0.52,44%,505,0.41,298,256,0.66,209,675,0.16,0.32,674,0.85,0.5,0.67,122.0,169.0,108.0,573.0
17,Cameron Norrie,0.65,0.7,31%,0.53,51%,272,0.4,401,454,0.64,127,718,0.25,0.39,728,0.8,0.51,0.64,160.0,291.0,180.0,582.0
